step,episode,timestamp,env/episode_length,env/episode_reward,env/score_diff,env/win_rate_100,train/epsilon,train/loss,eval/avg_score_diff,eval/avg_steps,eval/losses,eval/win_rate,eval/wins
0,0,2026-01-04T20:14:22.698141,25,1.4751857677902622,5,1.0,0.999981,0.0,,,,,
0,1,2026-01-04T20:14:23.333310,32,0.6369056179775283,0,0.5,0.999962,0.0,,,,,
0,2,2026-01-04T20:14:23.788286,26,0.5158105617977529,0,0.3333333333333333,0.999943,0.0,,,,,
0,3,2026-01-04T20:14:24.267439,27,0.4771332584269663,-5,0.25,0.999924,0.0,,,,,
2,4,2026-01-04T20:14:27.088675,29,0.5503047191011236,-4,0.2,0.999905,0.5450898669660091,,,,,
5,5,2026-01-04T20:14:30.946838,26,0.42505146067415733,-9,0.16666666666666666,0.999886,0.2046140357851982,,,,,
9,6,2026-01-04T20:14:35.915300,26,0.46157513108614234,-2,0.14285714285714285,0.999867,0.03791435714811087,,,,,
13,7,2026-01-04T20:14:40.933342,29,0.5119008988764046,-4,0.125,0.999848,0.012244339333847165,,,,,
17,8,2026-01-04T20:14:45.974934,28,1.5495271161048692,9,0.2222222222222222,0.999829,0.009867537999525666,,,,,
22,9,2026-01-04T20:14:52.168611,33,1.6593600000000002,5,0.3,0.99981,0.0059682671446353195,,,,,
26,10,2026-01-04T20:14:57.153447,26,1.5376333333333334,6,0.36363636363636365,0.999791,0.006999834673479199,,,,,
31,11,2026-01-04T20:15:03.421248,34,0.6516064419475658,0,0.3333333333333333,0.999772,0.0037474377546459436,,,,,
36,12,2026-01-04T20:15:09.586728,28,1.6833295131086141,39,0.38461538461538464,0.999753,0.0026188426883891223,,,,,
40,13,2026-01-04T20:15:14.667223,26,1.5571809737827715,10,0.42857142857142855,0.999734,0.006499369512312114,,,,,
44,14,2026-01-04T20:15:19.617071,27,1.567476329588015,12,0.4666666666666667,0.999715,0.0037647409772034734,,,,,
48,15,2026-01-04T20:15:24.639475,29,0.5363475655430711,-2,0.4375,0.999696,0.008289832854643464,,,,,
52,16,2026-01-04T20:15:29.698534,26,1.5706192509363297,18,0.47058823529411764,0.999677,0.004627583432011306,,,,,
55,17,2026-01-04T20:15:33.600699,29,0.4696246441947565,-22,0.4444444444444444,0.999658,0.0030870059660325446,,,,,
59,18,2026-01-04T20:15:38.544751,28,0.5323725093632958,0,0.42105263157894735,0.999639,0.001892239903099835,,,,,
63,19,2026-01-04T20:15:43.501294,28,1.5814554307116107,9,0.45,0.99962,0.0029681961750611663,,,,,
67,20,2026-01-04T20:15:48.395995,24,1.5625985018726591,24,0.47619047619047616,0.999601,0.0054372310696635395,,,,,
70,21,2026-01-04T20:15:52.267235,25,0.4528658426966292,-5,0.45454545454545453,0.999582,0.0016262087350090344,,,,,
73,22,2026-01-04T20:15:56.180421,24,0.4649561048689138,-1,0.43478260869565216,0.999563,0.0034724640427157283,,,,,
77,23,2026-01-04T20:16:01.131848,25,1.5365373033707865,19,0.4583333333333333,0.999544,0.004883619170868769,,,,,
81,24,2026-01-04T20:16:06.152775,31,1.617376479400749,6,0.48,0.999525,0.003202093474101275,,,,,
84,25,2026-01-04T20:16:10.012872,24,0.4339665917602996,-1,0.46153846153846156,0.999506,0.003620076614121596,,,,,
88,26,2026-01-04T20:16:15.137449,27,1.5499238202247192,4,0.48148148148148145,0.999487,0.004200831928756088,,,,,
92,27,2026-01-04T20:16:20.146351,27,1.5295285393258427,4,0.5,0.999468,0.003366923046996817,,,,,
96,28,2026-01-04T20:16:25.340757,29,1.6194984269662922,13,0.5172413793103449,0.999449,0.0017195008404087275,,,,,
100,29,2026-01-04T20:16:30.360856,26,1.5113552059925093,8,0.5333333333333333,0.99943,0.0054441767279058695,,,,,
104,30,2026-01-04T20:16:35.414378,29,1.619538576779026,12,0.5483870967741935,0.999411,0.001770079048583284,,,,,
108,31,2026-01-04T20:16:40.562637,28,0.4872225468164793,-9,0.53125,0.999392,0.0023014825128484517,,,,,
111,32,2026-01-04T20:16:44.400308,24,0.44511018726591767,3,0.5454545454545454,0.999373,0.001927291159518063,,,,,
114,33,2026-01-04T20:16:48.283097,25,0.513381722846442,-1,0.5294117647058824,0.999354,0.0014618770219385624,,,,,
117,34,2026-01-04T20:16:52.143583,26,0.40371595505617974,-14,0.5142857142857142,0.999335,0.003856110153719783,,,,,
121,35,2026-01-04T20:16:57.077537,27,0.4576352059925095,-2,0.5,0.999316,0.003991448029410094,,,,,
125,36,2026-01-04T20:17:02.093533,27,1.5293592509363294,5,0.5135135135135135,0.999297,0.0016877660527825356,,,,,
129,37,2026-01-04T20:17:07.222654,30,0.5660647191011237,-7,0.5,0.999278,0.0022331154177663848,,,,,
133,38,2026-01-04T20:17:12.264869,29,0.552216254681648,-5,0.48717948717948717,0.999259,0.0010778401338029653,,,,,
137,39,2026-01-04T20:17:17.229833,29,0.5123905617977528,-7,0.475,0.99924,0.0009653862216509879,,,,,
